块	aa
欤	ewn
巍	ewo
踬	ewq
峙	ews
跱	ews
蹰	ewu
崖	ewv
嵊	eww
躔	exa
岵	exg
灭	exh
岢	exk
踮	exl
踵	exm
翙	exn
跹	exo
毽	exo
踺	exo
峛	exp
刿	exp
巇	exq
踱	exr
跸	exu
毯	exx
岁	exx
跚	eyc
阍	eyd
阏	eyf
跞	eyh
崂	eyi
阋	eyk
峁	eym
嵌	eyn
㠓	eyr
嵘	eys
幽	eyy
用	eyy
氇	ezd
踉	ezm
阆	ezm
崀	ezm
跛	ezp
嶟	ezu
蹲	ezu
蹁	ezy
巉	ezz
䴓	ezz
睦	faa
陞	faa
眨	fab
瞌	fac
壹	fad
睹	fae
瓣	faf
眍	fah
决	fak
陵	fal
凌	fal
懿	fan
陎	fap
牡	fat
眶	fav
瞄	fbb
疐	fbh
壳	fbj
瞒	fbk
眠	fbm
悫	fbn
隅	fbr
甸	fbt
隈	fby
瞑	fcf
犒	fcg
凉	fch
眈	fck
耽	fck
聩	fcq
瞠	fda
瞵	fda
郇	fdf
䁖	fdg
牻	fdi
眯	fdm
憩	fdn
陡	fdo
旬	fdr
阳	fdr
睄	fdv
隰	fdx
囊	fdy
耳	fee
冮	feg
彀	fei
盹	fej
牦	fem
眊	fem
壸	fen
冱	feo
觳	feq
榖	fes
盱	feu
眄	few
縠	fey
匀	ffb
陶	ffb
耶	ffe
氍	ffe
犇	fff
盷	fff
物	ffi
牿	ffj
冼	ffk
瞿	ffr
矍	ffr
陬	ffr
聒	ffs
脊	ffv
辞	ffx
鹡	ffz
聃	fga
睑	fgd
险	fgd
聘	fge
隗	fgo
隃	fgp
凋	fgq
睥	fgu
陴	fgu
眇	fha
陑	fhe
郊	fhf
匈	fhg
陆	fhg
隙	fhh
交	fhi
效	fhl
睎	fhz
䴔	fhz
瞬	fia
睬	fic
辩	fif
减	fim
忽	fin
刎	fip
勿	fis
冰	fis
訇	fiy
匆	fiz
郜	fjf
陟	fjh
耻	fji
况	fjk
告	fjk
造	fjo
靠	fjp
陨	fjq
骘	fjr
职	fjt
眦	fjw
鹄	fjz
坠	fka
头	fkd
先	fke
眺	fkf
酂	fkf
瞭	fkh
陪	fkj
瞳	fkm
阶	fkn
选	fko
赞	fkq
赍	fkq
阻	fkq
队	fkr
犋	fkt
除	fkw
犄	fkx
降	fla
阽	fla
瞎	flj
院	flk
六	fll
隆	fln
聍	flr
际	fls
陀	flw
牧	flx
敌	flx
匐	fmb
限	fmg
眼	fmg
舔	fmh
陧	fml
目	fmm
陕	fms
附	fmu
盗	fnc
粢	fnd
姿	fng
咨	fnj
瓷	fnm
牛	fnn
恣	fnn
陋	fnp
资	fnq
次	fnq
瞩	fnr
牲	fns
瞋	fnt
隍	fnv
壶	fny
适	fod
眸	fof
冶	foj
眙	foj
兖	fok
睃	fol
凘	fol
刨	fop
勾	fos
包	fos
毂	fpc
阵	fpc
刮	fpd
辨	fpf
陔	fph
凛	fpl
辣	fps
睐	fps
牤	fpw
眩	fpy
䴗	fpz
瞻	fqi
凑	fqm
隐	fqn
睛	fqv
睁	fqx
净	fqx
陷	fqy
阼	fra
盯	frd
耵	frd
陉	fre
鄹	frf
娶	frg
聚	fri
聆	frl
冷	frl
冯	frm
冲	fro
聂	frs
颞	frt
准	fru
睢	fru
瞧	frx
取	fry
隘	fsc
隩	fsk
联	fsm
隧	fso
凇	fso
睇	fsq
舌	fss
障	fsu
瞪	fta
匍	ftf
阮	ftk
睽	ftm
盼	ftp
堕	fua
陌	fub
蠹	fuc
隔	fug
隳	fuh
孛	fui
勃	fui
犊	fuk
瞟	ful
随	fuo
橐	fus
凓	fus
瞫	fuu
隋	fuv
牺	fux
鹁	fuz
眭	fvg
冻	fvh
陈	fvh
牾	fvj
聪	fvn
阴	fvy
牝	fwb
乱	fwe
凝	fwh
阱	fwj
瞰	fwl
阪	fwr
特	fws
睚	fwv
瞅	fwx
陛	fxa
凄	fxg
牯	fxg
耿	fxh
睫	fxh
阿	fxk
犍	fxo
冽	fxp
阡	fxq
陲	fxt
睡	fxt
辛	fxx
眵	fxx
辫	fyf
牥	fyf
防	fyf
甜	fyg
睨	fyk
聊	fym
瞍	fyr
索	fys
舐	fyv
鼎	fyy
勺	fzd
掣	fzh
陇	fzl
眬	fzl
鸹	fzn
陂	fzp
制	fzp
犏	fzy
媱	gab
嫱	gad
妪	gah
躯	gah
圉	gai
婞	gai
妃	gaj
嫕	gan
䎃	gan
姝	gap
媛	gar
冉	gat
姥	gaw
弇	gbc
妲	gbd
媖	gbk
剿	gbp
巢	gbs
躲	gbs
甾	gbt
婼	gbu
嫣	gbx
嫘	gby
川	gcc
妍	gck
盒	gcm
婷	gcr
妩	gcu
妤	gcv
嬛	gcy
圜	gcy
圐	gcy
媪	gdc
娼	gdd
佥	gdd
媞	gdh
躺	gdj
敛	gdl
媳	gdn
剑	gdp
龢	gdw
婫	gdx
龠	gdy
她	gdy
嫦	gdz
姮	geb
姬	gec
婳	geg
圌	geh
凹	gei
囤	gej
娅	gen
娴	ges
郃	gfe
郅	gfe
邮	gfe
姣	gfh
囫	gfi
娵	gfr
婀	gfx
妁	gfz
娉	gge
姶	ggh
姻	ggk
囡	ggn
婤	ggq
婢	ggu
妯	ggy
妙	gha
网	ghh
合	ghh
冈	ghi
媆	ghk
刚	ghp
娥	ghq
拿	ghs
婿	ghv
围	ghw
躬	gig
至	gii
媄	gik
嫒	gir
婌	gir
命	gjc
媸	gjc
甲	gjj
如	gjk
娱	gjm
恕	gjn
邕	gjo
迥	gjo
圆	gjq
娲	gjr
娟	gjv
絮	gjy
盎	gkc
央	gkd
因	gkd
姱	gke
孅	gke
姚	gkf
奸	gkg
嫽	gkh
姨	gki
恩	gkn
姐	gkq
囚	gkr
囵	gkw
嫡	gkx
婍	gkx
鸯	gkz
媂	gkz
婉	glc
婶	gld
婠	gld
图	glf
嫫	glm
嫁	glr
嫔	glt
兕	glu
姹	glv
国	glv
致	glx
圈	gmc
婘	gmc
同	gme
娌	gml
娇	gmn
㛹	gmp
妖	gmt
娓	gne
媚	gnf
嫪	gni
姆	gnm
歙	gnn
女	gnn
嬥	gnr
姓	gns
翕	gnv
翈	gnv
媓	gnv
妮	gnw
迪	god
巡	god
㛚	goe
魆	goi
始	goj
魉	gok
魁	gol
魅	gop
魍	gop
魃	gor
魑	gor
魋	gor
鬼	gos
魈	gov
妇	gow
嬗	gpb
到	gpd
彤	gpi
嬉	gpj
嫩	gpl
丹	gpp
妹	gpw
姽	gqc
姞	gqj
周	gqj
姊	gqk
娆	gql
嫚	gqm
雕	gqr
娀	gqu
婧	gqv
圊	gqv
臻	gqw
婊	gqy
孀	grf
嬬	grh
弩	gri
努	gri
胬	grk
囹	grl
姈	grl
妈	grm
怒	grn
驽	grr
孥	gru
砮	gru
妗	grw
奴	gry
帑	grz
姘	gsc
困	gsm
嫌	gsn
罔	gsp
娣	gsq
身	gss
嫜	gsu
媲	gsx
圃	gtf
冏	gtj
园	gtk
妧	gtk
圙	gtt
颌	gty
妘	gty
顺	gty
团	gua
射	guc
郫	guf
婻	gui
好	gui
嫖	gul
妓	gur
妭	gur
卑	gus
嫉	guv
囿	guv
嬿	gux
鹎	guz
觎	gve
毹	gve
鄃	gvf
娃	gvg
圄	gvj
奶	gvn
愈	gvn
逾	gvo
俞	gvp
婵	gvu
妊	gvw
胄	gvy
媾	gwa
妞	gwa
娜	gwf
嫄	gwh
囷	gwh
姒	gwk
姤	gwm
侴	gwp
妣	gxb
固	gxg
姑	gxg
婕	gxh
嬷	gxo
嫭	gxu
姗	gyc
婚	gyd
妨	gyf
邋	gyo
嫂	gyr
媒	gys
由	gyy
娠	gzc
妒	gzh
娩	gzk
龛	gzl
娘	gzm
鸽	gzn
鸭	gzn
妫	gzz
拒	haa
摇	hab
拷	hae
省	haf
揠	hag
抠	hah
劣	hai
抉	hak
少	hap
援	har
尘	hat
捋	hau
抓	hau
托	hav
韬	hay
卜	hbb
描	hbb
担	hbd
疍	hbd
搭	hbg
抿	hbm
撂	hbo
搽	hbs
摞	hby
蛋	hcc
搞	hcg
掠	hch
挤	hcn
摆	hco
挥	hcp
报	hcr
揉	hcs
探	hcs
抚	hcu
抒	hcv
擐	hcy
拽	hda
韫	hdc
搅	hde
搂	hdg
撑	hdh
提	hdh
捍	hdk
擞	hdl
擤	hdl
挡	hdo
逴	hdo
揭	hdp
撮	hdr
桌	hds
抻	hds
卓	hdu
捎	hdv
扰	hdy
撬	hee
而	hee
扛	heg
揣	heh
扽	hej
扪	hem
搁	heo
拜	heq
摧	her
捉	heu
拥	hey
掏	hfb
掬	hfd
揶	hff
看	hfm
抱	hfo
攒	hfq
攫	hfr
摄	hfr
括	hfs
攮	hfy
捡	hgd
拾	hgh
押	hgj
凶	hgk
击	hgk
掴	hgl
耍	hgn
摁	hgn
揄	hgp
捯	hgp
捆	hgs
捭	hgu
拶	hgx
抽	hgy
抄	hha
扑	hhb
爻	hhi
掉	hhu
播	hib
搓	hie
搦	hif
拤	hih
乂	hii
撼	hin
拂	hin
授	hir
耏	his
抔	hjb
揖	hjf
拙	hjg
拐	hji
扯	hji
扣	hjk
挹	hjo
捌	hjp
损	hjq
拨	hjr
操	hjs
捐	hjv
挫	hka
抢	hkc
尖	hkd
挎	hke
挑	hkf
接	hkg
扞	hkg
撩	hkh
尜	hkh
掊	hkj
捺	hkl
拉	hkl
撞	hkm
挞	hko
擿	hko
擒	hkr
抨	hks
掩	hku
拴	hkv
抡	hkw
摘	hkx
掎	hkx
攥	hky
搒	hky
拈	hla
蜇	hlc
抖	hld
晢	hld
踅	hle
按	hlg
誓	hli
哲	hlj
折	hlj
擦	hll
摸	hlm
掀	hln
逝	hlo
拧	hlr
搬	hlt
摈	hlt
挓	hlv
拆	hlz
招	hma
垫	hma
蛰	hmc
扶	hmf
挚	hmh
掭	hmh
抛	hmi
势	hmj
捏	hml
撵	hmp
贽	hmq
挟	hms
拊	hmu
热	hmx
絷	hmy
执	hmz
鸷	hmz
拍	hnb
摒	hnc
掘	hng
握	hng
拇	hnm
掼	hnq
擢	hnr
卢	hns
颅	hnt
据	hnx
恧	hnx
搌	hny
鸬	hnz
㧟	hoa
把	hob
违	hod
捅	hoe
掺	hoi
抬	hoj
捃	hoj
撕	hol
掾	hor
撰	hot
挦	hou
挨	hov
扫	how
揕	how
擅	hpb
搐	hpb
抗	hpb
刈	hpd
揽	hpe
排	hpf
抃	hph
掖	hpl
抹	hpm
摛	hpr
摔	hpu
捽	hpu
韧	hpz
贞	hqb
拭	hqe
找	hqg
撄	hqg
我	hqg
捧	hqh
拮	hqj
换	hqk
揳	hqk
挠	hql
揍	hqm
撷	hqt
挣	hqx
掐	hqy
摏	hqy
鹅	hqz
拃	hra
擂	hrb
搔	hrc
打	hrd
控	hre
摴	hre
择	hrh
拎	hrl
捻	hrn
摊	hrr
掇	hrr
撺	hrr
攉	hrr
搡	hrs
㧐	hrs
雀	hru
推	hru
携	hrv
挖	hrw
揸	hsb
拼	hsc
弑	hse
掷	hsf
拌	hsh
拘	hsj
杀	hsm
搛	hsn
拦	hso
刹	hsp
手	hss
搠	hsv
扒	htb
拖	htd
捕	htf
疏	htg
掰	hth
撤	htl
揆	htm
揿	htn
扮	htp
段	hts
投	hts
搏	htu
抟	htz
耐	huc
措	hud
郗	huf
郄	huf
擀	huk
撒	hul
摽	hul
瓻	hum
挝	huo
拔	hur
韨	hur
技	hur
拓	hus
拱	hut
肴	huv
希	huz
挂	hvg
拣	hvh
捂	hvj
扔	hvn
挺	hvo
掸	hvu
胥	hvy
扭	hwa
搋	hwb
扼	hwc
指	hwd
拯	hwe
扎	hwe
挪	hwf
扬	hwi
拟	hwk
撇	hwl
撖	hwl
撅	hwn
扳	hwr
持	hws
韦	hww
揪	hwx
批	hxb
扩	hxg
捷	hxh
掳	hxi
搪	hxj
掂	hxl
揩	hxn
摅	hxn
扦	hxq
捶	hxt
摭	hxx
掞	hxx
小	hxx
插	hxy
抑	hyc
拗	hyi
捞	hyi
搜	hyr
扺	hyv
攘	hyw
抵	hyz
振	hzc
撸	hzd
捣	hze
搀	hzf
护	hzh
挽	hzk
拢	hzl
鸸	hzn
披	hzp
捩	hzp
撙	hzu
拄	hzv
掮	hzv
㧑	hzz
讵	iaa
谣	iab
疆	iae
诸	iae
弧	iag
讴	iah
记	iaj
诀	iak
诞	iao
诛	iap
谖	iar
诓	iav
讶	iay
证	ibe
鄱	ibf
谎	ibg
讽	ibh
讥	ibj
谡	ibl
翻	ibn
课	ibs
番	ibt
诺	ibu
谓	ibv
采	icc
长	icc
谮	icd
谅	ich
弶	ich
谲	icj
盖	icm
谴	ico
诨	icp
引	ics
谆	icu
鬟	icy
谔	ide
粥	idi
谠	idk
谜	ido
羯	idp
谒	idp
沓	idr
鬻	idu
诮	idv
弛	idy
髢	idy
臧	iec
差	ieg
讧	ieg
威	ieg
戌	iei
诬	iek
髦	iem
讪	ies
谰	ies
羰	iex
询	ifd
弭	ife
弱	iff
诰	ifj
诜	ifk
着	ifm
羡	ifn
诹	ifr
话	ifs
髯	iga
训	igc
弓	igg
诇	igj
凼	igk
姜	ign
谕	igp
调	igq
谢	igu
鬣	igy
釉	igy
讣	ihb
卡	ihb
督	ihf
讻	ihg
叔	ihr
谞	ihv
讳	ihw
张	iic
蹙	iie
戚	iih
淼	iii
勰	iin
彩	iis
让	iis
诚	iiw
详	iiy
强	ijc
犟	ijf
诎	ijg
呇	ijk
加	ijk
误	ijm
迦	ijo
贺	ijq
驾	ijr
弢	ijr
架	ijs
识	ijt
髭	ijw
哿	ijx
袈	ijy
髽	ika
美	ikd
谶	ike
讦	ikg
谚	iki
诊	iki
诅	ikq
认	ikr
评	iks
诠	ikv
论	ikw
谪	ikx
谤	iky
谛	ikz
䜣	ilj
谊	ilk
鬃	ill
力	ill
谟	ilm
鬓	ilt
髡	ilu
诧	ilv
救	ilx
诉	ilz
诏	ima
髫	ima
弨	ima
鬈	imc
咸	ime
感	imn
觱	imq
髹	ims
讹	imw
谧	inc
弗	ind
谬	ini
艴	ino
费	inq
鬒	int
翔	inv
诩	inv
忐	inx
恙	inx
悉	inx
羓	iob
逑	iod
边	iod
诵	ioe
诒	ioj
羧	iol
弘	ios
谌	iow
诽	ipf
该	iph
谏	ips
谇	ipu
诳	ipv
弦	ipy
讱	ipz
诫	iqb
诡	iqc
试	iqe
弥	iqh
谵	iqi
髻	iqj
诘	iqj
谩	iqm
鬘	iqm
诌	iqo
求	iqq
请	iqv
诤	iqx
谄	iqy
羑	iqz
诈	ira
订	ird
羟	ire
译	irh
释	irh
羚	irl
讷	irn
谂	irn
谁	iru
谯	irx
受	iry
诼	irz
谥	isc
谱	isd
鄯	isf
善	isj
谦	isn
谫	isp
水	iss
上	iss
谙	isy
办	itb
媭	itg
诲	itn
讼	ito
设	its
诔	its
羖	its
许	itu
讫	itw
须	ity
讨	iuc
弼	iui
读	iuk
谳	iup
爱	iur
谍	ius
计	ius
谭	iuu
戊	iuu
诙	iux
诖	ivg
语	ivj
说	ivk
弹	ivu
弸	ivv
羞	iwa
盛	iwc
诣	iwd
羌	iwe
成	iwe
诿	iwg
羱	iwh
讲	iwj
词	iwm
诟	iwm
羲	iwq
诗	iws
讯	iwu
诱	iwv
鬏	iwx
舜	ixa
诂	ixg
羔	ixh
羹	ixk
诃	ixk
谐	ixn
谑	ixo
燮	ixr
肆	ixv
谈	ixx
访	iyf
裘	iyi
谀	iyk
谋	iys
羊	iyy
言	iyy
诋	iyz
羝	iyz
戍	izd
谗	izf
议	izh
羕	izi
养	izn
诐	izp
谨	izt
鲝	izv
谝	izy
嗑	jac
啮	jac
嗜	jad
啫	jae
嘟	jaf
呱	jag
呕	jah
哧	jan
吐	jat
哮	jau
嚼	jau
呼	jau
吒	jav
哐	jav
呀	jay
咂	jaz
喵	jbb
不	jbb
嚆	jbc
歪	jbe
嗒	jbg
哎	jbh
叽	jbj
噶	jbp
喁	jbr
嚄	jbr
哚	jbs
喏	jbu
喟	jbv
呓	jbw
嗬	jbx
喂	jby
虽	jcc
叩	jcj
叫	jcj
噤	jcl
啉	jcl
嚎	jcr
哼	jct
呒	jcu
啰	jcx
哝	jcy
嘡	jda
唱	jdd
喽	jdg
品	jdh
咱	jdi
咣	jdl
咪	jdm
嗅	jdp
喝	jdp
唢	jdq
嘬	jdr
呻	jds
哨	jdv
咺	jeb
蚩	jec
邳	jef
喘	jeh
吓	jeh
丕	jei
吨	jej
号	jek
㘎	jel
哑	jen
唝	jeq
吁	jeu
嘣	jev
饕	jew
哕	jex
甭	jey
鸮	jez
噎	jfa
啕	jfb
咡	jfe
嚏	jfh
咬	jfh
吻	jfi
唿	jfn
吽	jfn
咆	jfo
戢	jfq
嗫	jfr
哱	jfu
啊	jfx
嗦	jfy
囔	jfy
粜	jgd
䢺	jgf
哈	jgh
咥	jgi
呷	jgj
咽	jgk
咉	jgk
出	jgk
祟	jgl
哃	jgm
嗯	jgn
喻	jgp
啁	jgq
呶	jgr
啤	jgu
孬	jgu
吵	jha
卟	jhb
史	jhi
啦	jhk
哳	jhl
啪	jhn
哦	jhq
频	jht
颦	jhu
步	jhx
唏	jhz
吲	jic
嗟	jie
咔	jih
嘁	jih
止	jii
咖	jij
另	jil
叻	jil
喊	jim
别	jip
嗳	jir
咩	jiy
唁	jiy
嗤	jjc
呸	jje
咄	jjg
吕	jjk
否	jjk
嘴	jjq
噪	jjs
啃	jjv
呲	jjw
唑	jka
呛	jkc
兄	jke
啥	jkf
唼	jkg
嘹	jkh
咦	jki
噬	jkk
口	jkk
噇	jkm
哒	jko
咀	jkq
噙	jkr
哙	jkt
嘚	jku
唵	jku
喹	jkv
嘀	jkx
啼	jkz
呔	jkz
噻	jla
喧	jlb
嘧	jle
咚	jlf
啶	jlh
嗐	jlj
听	jlj
嚓	jll
喀	jlo
咛	jlr
咤	jlv
咿	jma
唧	jmc
呋	jmf
哏	jmg
哩	jml
咻	jms
吴	jmt
哗	jmu
咐	jmu
喉	jmv
咇	jna
啧	jne
噼	jnf
喔	jng
呣	jnm
唰	jnp
吹	jnq
嘱	jnr
嗔	jnt
嗥	jnu
唣	jnv
喤	jnv
呢	jnw
吣	jnx
噗	jnz
邑	job
吧	job
还	jod
哞	jof
咯	jog
咍	joj
吮	jok
嘶	jol
唆	jol
嗨	jon
嗵	joo
喙	jor
噀	jot
唉	jov
啵	joz
吭	jpb
叨	jpd
啡	jpf
哽	jpg
咳	jph
嘭	jpi
嘻	jpj
嗽	jpn
喇	jpp
吠	jpq
啐	jpu
味	jpw
啭	jpz
呗	jqb
员	jqb
郧	jqf
嘤	jqg
唪	jqh
勋	jqi
唤	jqk
嗷	jql
唛	jql
哓	jql
嗪	jqw
嗉	jqy
咋	jra
叮	jrd
嚅	jrh
吸	jrj
呤	jrl
吗	jrm
呐	jrn
呙	jrn
剐	jrp
嚯	jrr
啜	jrr
嗓	jrs
唯	jru
吟	jrw
噍	jrx
叹	jry
发	jry
啄	jrz
喳	jsb
吖	jsc
嗌	jsc
嘿	jsh
响	jsj
噢	jsk
呆	jsm
噫	jsn
嗍	jsv
嗞	jsy
喑	jsy
噔	jta
叭	jtb
只	jtb
哺	jtf
㕮	jth
嗄	jtl
嗡	jtn
吩	jtp
嘎	jtq
唷	jtv
吃	jtw
嗲	jtx
黾	jud
鄙	juf
嗝	jug
喃	jui
嘌	jul
喷	juq
吱	jur
歧	jur
叶	jus
喋	jus
哄	jut
嘲	juv
吼	juw
哂	jux
咴	jux
哢	jvb
噌	jvd
郢	jvf
哇	jvg
唔	jvj
逞	jvo
啴	jvu
呈	jvw
肯	jvy
鹃	jvz
叱	jwb
此	jwb
呃	jwc
叼	jwe
哪	jwf
訾	jwi
呖	jwi
喱	jwm
噘	jwn
赀	jwq
觜	jwq
雌	jwr
柴	jws
些	jwt
啾	jwx
紫	jwy
哌	jwy
唬	jxb
吡	jxb
嘛	jxc
咕	jxg
呵	jxk
嘘	jxn
喈	jxn
咧	jxp
噱	jxr
唾	jxt
啸	jxt
哔	jxu
哆	jxx
啖	jxx
嘈	jyd
呦	jyi
唠	jyi
嗣	jym
嗖	jyr
嗾	jyv
嚷	jyw
咝	jyy
吆	jyy
哟	jyz
噜	jzd
啷	jzf
咏	jzi
嘞	jzi
吊	jzj
咙	jzl
鸣	jzn
唳	jzp
呜	jzu
噂	jzu
徭	kab
箸	kae
奢	kae
筠	kaf
奁	kah
笸	kaj
簏	kal
筵	kao
篚	kap
箧	kas
笊	kau
筐	kav
御	kbc
笪	kbd
征	kbe
飒	kbh
微	kbj
箅	kbl
惩	kbn
奋	kbt
箬	kbu
得	kbu
亍	kcc
彳	kcc
簪	kcd
牵	kcf
篙	kcg
仓	kcj
笄	kck
箖	kcl
创	kcp
篑	kcq
戗	kcq
个	kcs
箩	kcx
篾	kcz
鸧	kcz
大	kdd
篓	kdg
徊	kdh
徜	kdj
簖	kdl
籴	kdm
徒	kdo
筜	kdo
竭	kdp
筲	kdv
瓠	kea
简	ked
夸	kee
儿	kee
筇	kef
仝	keg
端	keh
笕	kej
筮	kek
笔	kem
匏	keo
刳	kep
笺	keq
竽	keu
筑	kez
算	kfb
舒	kfc
徇	kfd
耷	kfe
邗	kfe
兆	kff
笏	kfi
筶	kfj
筅	kfk
篡	kfo
簉	kfo
逃	kfo
鼗	kfr
舍	kfs
纂	kfy
夼	kgc
签	kgd
干	kgg
答	kgh
筒	kgm
妾	kgn
劄	kgp
笯	kgr
笛	kgy
籥	kgy
籀	khb
箨	khh
爽	khh
筘	khj
筢	kho
箍	khz
套	kic
夷	kig
笳	kij
夯	kil
助	kil
箴	kim
笾	kio
汆	kis
徉	kiy
部	kjf
徙	kjh
企	kji
筥	kjj
竞	kjk
瓿	kjm
剖	kjp
筼	kjq
坐	kka
丛	kke
耸	kkf
竿	kkg
簝	kkh
俎	kkk
众	kkk
笠	kkl
怂	kkn
徂	kkq
从	kkr
筌	kkv
徐	kkw
徛	kkx
站	kla
畲	klb
箢	klc
管	kld
筦	klk
立	kll
篷	klo
奈	kls
佘	kls
笤	kma
簋	kmc
很	kmg
筱	kml
童	kml
筏	kmq
笑	kmt
符	kmu
篌	kmv
策	knc
介	knd
箦	kne
筷	knk
篼	knk
徼	knl
笙	kns
翊	knv
徨	knv
篁	knv
笋	koa
笆	kob
达	kod
箓	koi
笞	koj
竣	kol
箔	kon
悬	kon
箕	koq
篆	kor
县	kos
簿	kou
簸	koz
篮	kpc
刊	kpd
徘	kpf
筻	kpg
簌	kpn
籁	kpq
篱	kpr
禽	kpr
徕	kps
竦	kps
筛	kpz
笫	kqk
第	kqk
且	kqq
筹	kqu
靖	kqv
箐	kqv
筝	kqx
竫	kqx
笮	kra
径	kre
箜	kre
笈	krj
笃	krm
入	krr
人	krr
毅	krt
雎	kru
平	ksb
笨	kse
箱	ksf
竘	ksj
笱	ksj
新	ksl
亲	ksm
箭	ksp
伞	ksu
篦	ksx
鹩	ksz
具	ktb
簠	ktc
籍	ktd
竺	kte
郐	ktf
商	ktj
刽	ktp
篯	ktq
役	kts
顸	kty
会	kty
奔	kub
夺	kuc
奄	kud
簧	kug
德	kun
竑	kuo
篥	kus
竹	kuu
奭	kuu
簟	kuu
鹌	kuz
奎	kvg
筀	kvg
筋	kvi
彻	kvp
箪	kvu
徵	kvw
全	kvw
篝	kwa
㙦	kwa
仑	kwb
篪	kwb
畬	kwb
产	kwc
循	kwf
余	kwh
彦	kwi
斜	kwl
笥	kwm
悆	kwn
途	kwo
叙	kwr
待	kws
等	kws
颜	kwt
簃	kwx
奇	kxk
欹	kxn
剞	kxp
箫	kxt
筚	kxu
律	kxv
奓	kxx
彷	kyf
旁	kyf
徽	kys
簰	kyu
簇	kyv
胤	kyv
太	kzd
簕	kzi
啻	kzj
帝	kzj
笼	kzl
筤	kzm
态	kzn
遆	kzo
彼	kzp
往	kzv
篇	kzy
占	laa
褚	lae
袂	lak
卣	lak
祾	lal
祛	lao
逄	lao
袪	lao
墓	lat
社	lat
宅	lav
袒	lbd
宽	lbe
褡	lbg
船	lbj
惫	lbn
寓	lbr
裸	lbs
祼	lbs
备	lbt
虺	lcc
斶	lcc
裕	lcg
容	lcg
襻	lch
襟	lcl
盘	lcm
禤	lcn
裈	lcp
寰	lcy
斗	ldd
宴	ldg
褛	ldg
官	ldh
禔	ldh
裼	ldi
褟	ldn
裆	ldo
逭	ldo
褐	ldp
暮	ldr
审	lds
神	lds
宵	ldv
艄	ldv
乒	lea
宣	leb
宦	lec
宧	lec
裥	led
岳	lee
邱	lef
寅	leg
丘	lei
舰	lej
觇	lej
视	lej
戭	leq
舢	les
襕	les
宇	leu
乓	lez
冬	lfb
螽	lfc
祁	lfe
鄚	lfe
宪	lfk
实	lfk
牢	lfn
袍	lfo
宰	lfx
裣	lgd
袷	lgh
室	lgi
安	lgn
褕	lgp
案	lgs
裨	lgu
袖	lgy
舳	lgy
宙	lgy
补	lhb
处	lhb
昝	lhd
鹾	lhe
定	lhf
卤	lhi
咎	lhj
舻	lhn
祯	lhq
摹	lhs
祎	lhw
袆	lhw
慕	lhx
襁	lic
募	lil
务	lil
寂	lir
衫	lis
宬	liw
禚	lix
祥	liy
祉	lji
斤	ljj
宫	ljj
祝	ljk
祸	ljr
袯	ljr
裎	ljv
舱	lkc
祧	lkf
寮	lkh
袗	lki
艟	lkm
宜	lkq
祖	lkq
襫	lku
艅	lkw
寄	lkx
禘	lkz
祈	llj
寞	llm
宗	lls
宾	llt
宝	llv
舵	llw
富	lmb
福	lmb
裉	lmg
宄	lmj
莫	lmm
褪	lmo
袱	lmp
褓	lms
袄	lmt
祆	lmt
宿	lmu
宓	lna
祕	lna
舶	lnb
蜜	lnc
艉	lne
甯	lne
密	lne
寥	lni
褶	lnn
欣	lnq
禛	lnt
艎	lnv
裾	lnx
舥	lob
近	lod
客	log
袼	log
禄	loi
裙	loj
舟	loo
祺	loq
禒	lor
祲	lor
祀	los
额	lot
航	lpb
褴	lpc
舠	lpd
初	lpd
禧	lpj
袜	lpm
裢	lpo
舷	lpy
豁	lqc
战	lqg
祢	lqh
襜	lqi
害	lqj
禊	lqk
逢	lqo
割	lqp
祷	lqu
裱	lqy
祚	lra
舴	lra
宁	lrd
襦	lrh
舲	lrl
蓦	lrm
祃	lrm
衲	lrn
舯	lro
裰	lrr
家	lrs
衿	lrw
衩	lrz
艏	lsd
袢	lsh
宋	lsm
条	lsm
襚	lso
示	lss
兵	ltb
完	ltk
察	ltl
寡	ltp
般	lts
槃	lts
祋	lts
磐	ltu
寇	ltx
颀	lty
禋	lua
衬	luc
艋	luc
守	luc
字	lui
宏	luo
祓	lur
宕	lus
祏	lus
兀	luu
宥	luv
舾	lux
祐	luy
褂	lvh
艇	lvo
禅	lvu
玉	lvv
衽	lvw
塞	lwa
它	lwb
褫	lwb
蹇	lwe
乩	lwe
礼	lwe
寒	lwf
搴	lwh
謇	lwi
祠	lwm
赛	lwq
骞	lwr
寨	lws
褰	lwy
舭	lxb
宛	lxc
祜	lxg
灾	lxh
寁	lxh
点	lxh
舸	lxk
裤	lxp
剜	lxp
褯	lxz
艚	lyd
舫	lyf
祊	lyf
寤	lyj
寐	lyp
寝	lyr
艨	lyr
艘	lyr
祇	lyv
褙	lyv
禳	lyw
祗	lyz
宸	lzc
斥	lzd
舣	lzh
幕	lzj
宠	lzl
鸼	lzn
被	lzp
褥	lzu
褊	lzy
召	maa
偁	maa
偃	mag
伛	mah
傒	mak
候	mak
佚	mam
仫	mao
侏	map
仕	mas
垦	mat
俘	mau
侯	mav
佬	maw
儦	max
伢	may
儡	mbb
但	mbd
仉	mbj
儆	mbl
偲	mbn
逼	mbo
副	mbp
偶	mbr
倮	mbs
佃	mbt
偌	mbu
